v1,v2
ham,"Да, но не изучаю серфинг лор. Сегодня я нахожусь в ленивом режиме."
ham,"Пожалуйста, сен :) мой добрый совет :-) пожалуйста, приходите сюда и попробуйте:-)"
ham,С меня хватит. C  _ там.
ham,"О, прекрасно, я буду сегодня вечером"
ham,"  дай мне немного времени, чтобы дойти туда."
ham,"Я доберусь примерно через 20 минут, хорошо..."
spam,"FreeMSG Вы получили бесплатную мини-ЦИФРОВУЮ КАМЕРУ, просто ответьте SNAP, чтобы забрать свой приз! (quizclub отказывается? Стоп 80122300p/wk SP: RWM Ph: 08704050406)"
ham,Трахни малышку ... Что с тобой случилось ? Почему ты так и не вернулся?
spam,Это сообщение отправлено вам компанией GMW Ltd. и не связано с
ham,"Некоторые друзья хотят, чтобы я отвез их кое-куда, возможно, это займет некоторое время"
ham,"Я тоже говорю слишком быстро... Xy предлагай одно, а не я. У дун ван, все в порядке. Собирается 2 дождя в лех, куда попал б-г ."
ham,Вы все еще получаете товар?
ham,"И, может быть, немного прессы"
ham,"Да, это так, так что я уйду, может быть, через 7?"
ham,К..к..я тоже в порядке:)когда ты закончишь курс?
ham,Под морем лежит скала. В скале есть конверт. В конверте есть бумага. На бумаге есть 3 слова... '
ham,"Я сказал ей, что на следующей неделе у меня прием у доктора аппта. Она думает, что я вот-вот умру. Я сказал ей, что это всего лишь чек. Не о чем беспокоиться. Но она не слушала."
ham,Ты в своей комнате? Мне нужно несколько
ham,Я не хочу ничего слышать
ham,"Эй. Для меня нет отпуска в пятницу. Подождите, я спрошу своего начальника и скажу вам.."
ham,В конечном счете главный мотив туи - достижение корли.
ham,С 5 до 2 только мое рабочее время.
ham,"__ и не волнуйся, мы закончим к марту __ года!"
ham,"Дом стоит на воде с причалом, к которому подкатила лодка с диктором, играющим на джазовой флейте за рулем"
spam,"Поздравляю 2 мобильных 3G-видеофона с вашими. звоните 09063458130 прямо сейчас! видеочат с друзьями, играйте в java-игры, загружайте полифоническую музыку, noline rentl. bx420. ip4. 5we. 150p"
spam,"Ваше следующее потрясающее видео XXX PICSFREE1 будет отправлено вам, наслаждайтесь! Если одного видео недостаточно для 2day, введите ключевое слово PICSFREE1, чтобы получить следующее видео."
ham,Теперь это погубит твою диссертацию!
ham,В щ но невом уме ты ешь 1-й день..
ham,"Эй, что случилось? Ты спишь все утро?"
ham,"Эмм. Я думал, что срок действия контракта истек 4 октября."
ham,"Я не знаю, до каких пор... Пойдем учиться пилатесу..."
spam,"Вы подписаны на лучший сервис мобильного контента в Великобритании на 3 рубы в течение десяти дней, пока не отправите STOP на номер 83435. Телефон доверия 08706091795."
ham,"Да, я подробно останавливаюсь на аспектах безопасности и некоторых других вопросах.."
spam,3 БЕСПЛАТНЫХ ТЕКСТА ТАРО! Узнайте о своей личной жизни прямо сейчас! ПОПРОБУЙТЕ 3 БЕСПЛАТНО! Отправьте сообщение ШАНСУ только на 85555 16! После 3 бесплатных глотков по 1.50 рубза штуку
ham,"Доброе утро, сегодня я опаздываю на 1 час."
ham,"Привет, с днем рождения. Привет привет привет привет привет привет привет"
ham,"Я буду за пределами офиса, заберу все оттуда"
ham,"Если ты не отвечаешь, я предположу, что ты все еще спишь, и я начну звонить всякой херне"
ham,"Ладно, увидимся через некоторое время"
ham,"Мой начальник говорит, что в пятницу отпуск для всех остальных отделов, кроме нашего:) так что это будет отпуск и для вас:)в любом случае позвоните вахиду фатиме в отдел кадров и согласуйте это:)"
spam,"Присоединяйтесь к самой похотливой службе слежки в Великобритании, и вы сможете заниматься сексом 2 ночи!. Просто зарегистрируйтесь и следуйте инструкциям. Текстовая ЗАПИСЬ в 69888 прямо сейчас! Nyt.EC2A.3LP.msg@150p"
ham,"Лол, я должен это принять. участник, как я сказал, моя тетя флоу не навещала меня в течение 6 месяцев? Это потому, что у меня развились кисты яичников. Bc - это единственный способ уменьшить их."
ham,Все еще продолжается работа:) это очень маленький дом.
ham,"Мой друг только что пришел и говорит, что увеличивает свой заказ на несколько граммов (у него есть $  12:00 ), когда ты сможешь приехать?"
ham,"Tmr timin все тот же, потому что у меня урок до 6..."
ham,"Вот в чем дело с обезьянами, вы можете драться насмерть, чтобы что-то сохранить, но в ту минуту, когда вы отпускаете это, это у них получается, вот и все!"
spam,"Тест на солнечное сияние Wkly Q! Выиграйте лучший DVD-плеер Sony, если знаете, в какой стране ""Ливерпуль"" играл в середине недели? Текстовый ответ на номер 82277.  1.50 SP:Тайрон"
ham,"Нет, я не смогу этого сделать. || слишком позднее уведомление. || я все равно буду дома через несколько недель. || каковы планы"
ham,"Есть fujitsu, ibm, hp, toshiba... Есть много моделей, как бы это сказать..."
ham,Оки... Спасибо...
ham,"Боже мой , какая это боль. Может, тогда мне лучше прийти?"
ham,"Как обычно .. я в порядке, счастлив и у меня все хорошо ..:)"
ham,Оки
ham,"Итак, когда ты собираешься получить доступ к rimac "
ham,"\ Я в аресторане ем кальмаров! я выйду около 10:30, хочешь что-нибудь сделать или это слишком поздно?"""""
ham,"Ты сегодня позвонишь в times job, хорошо, умма, и попросишь их ускорить"
ham,"\ ПРИВЕТ У. ПОЗВОНИ, КОГДА ЗАКОНЧИШЬ WRK.Я ПРЕДСТАВЛЯЮ, КАК МЫ ВСТРЕТИМСЯ С Вами ВСЕЙ НОЧЬЮ, ТАК КАК мне НУЖНО ОТДОХНУТЬ ОТ ДАБУКОВ. ОТСИДЕЛ 4 ЧАСА ПРОШЛОЙ НОЧЬЮ + 2 СЕГОДНЯ В WRK!"""""
ham,"Р У и СЭМ П ДРУГ В ДРУГЕ. ЕСЛИ МЫ ВСТРЕТИМСЯ, МЫ МОЖЕМ ПОЙТИ Ко МНЕ ДОМОЙ."
ham,":-) да! Лол. К счастью, у меня не было такой главной роли, как у тебя!"
ham,"Здравствуйте , мадам , как у вас дела ?"
ham,"Круто, напиши мне, когда пополнишь запасы."
ham,"Как обычно .. я в порядке, счастлив и у меня все хорошо ..:)"
spam,"Тук-тук txt, чей номер телефона 80082, чтобы принять участие в еженедельном розыгрыше 4 подарочных сертификата на 250 руб4 магазина на ваш выбор. Т иС www.tkls.com возраст от 16 до stoptxtstop1,50 руб/неделя"
ham,ДА. Это все невинная забава. O:-)
ham,"Спасибо, что прислали этот вопрос об умственных способностях.."
ham,"Сэр, надеюсь, ваш день проходит гладко. я действительно надеялся, что мне не придется беспокоить вас по этому поводу. У меня есть несколько счетов, которые я не могу оплатить в этом месяце. У меня закончились все лишние деньги. Я знаю, что для вас это тоже сложное время, но я должен дать вам знать."
ham,только 2марроу. Ср. в  12:00 до 2 ага.
ham,"Я пошел в твою дорогую лабораторию, но там никого нет."
ham,"Я не могу взять трубку прямо сейчас. Пожалуйста, отправьте сообщение"
ham,"Привет, ппл ... 700 или 900 долларов за 5 ночей...Отличное расположение с корзиной для завтрака!!!"
spam,"<Forwarded from 21870000>Привет - это SMS-оповещение об отправке сообщений в ваш почтовый ящик. У вас есть 40 совпадений. Пожалуйста, перезвоните по номеру 09056242159, чтобы получить ваши сообщения и совпадения со скоростью cc100p/min"
ham,Как так вышло?
ham,"Лол! Нет, было не так уж плохо, спасибо. Хорошо быть дома, но это была настоящая проверка на практике. Как прошел твой день? Вы что-нибудь делали с сайтом?"
ham,"Хорошо, Лор..."
ham,Я возвращаюсь домой в 4 часа ужина.
ham,С da..al r выше  12:00
spam,"БЕСПЛАТНАЯ МЕЛОДИЯ ЗВОНКА, просто отправь сообщение ""POLYS"" на номер 87131. Тогда каждую неделю приобретайте новый тон. 0870737910216 лет всего 1,50 руб/ шек."""
ham,"Онни, спасибо тебе, дорогая, за подзарядку..Ракхеш"
ham,"Я знаю, что мне не хватает большинства деталей этой конкретной драмы, но по большей части меня это не беспокоит"
ham,"Ха-ха... Они не могут что... Самое большее, пмр проиграет... ха-ха, так как же?"
ham,"Привет всем! Рад, что тебе сейчас лучше. Я слышал, ты угостил себя цифровой камерой, она вкусная? Мы уезжаем в 9 вечера. Хорошего нового года, c u in coupla wks!"
ham,Я ни за что туда не вернусь!
spam,"СРОЧНО! 06.02.03 ваш мобильный номер 077xxx ВЫИГРАЛ бонусный приз от абонента в размере 2000 руб! Это уже 2-я попытка связаться с ВАМИ! Звоните 09066362206 как можно скорее! BOX97N7QP, 150 ppm"
ham,"Я ПОЗВОНЮ ВАМ, сэр. На собрании"
ham,"Это то, что я люблю слышать : ""увидимся в воскресенье, тогда"
ham,"Прости, тангам, очень, очень жаль, что я задержался с прасадом."
ham,Тивари в rcb.битва между бангом и кочи.
ham,"Слава богу, они в постели!"
ham,"Нет, у меня не рак. Мамы раздувают из мухи слона из-за регулярного осмотра, известного как мазок папаниколау"
ham,Учусь в колледже искусств гоби
ham,Почему она хочет поговорить со мной
ham,Сегодня Панди присоединился к 4w technologies.он получил работу..
spam,"Вам гарантирован новейший телефон Nokia, MP3-плеер iPod емкостью 40 ГБ или приз в размере 500 руб! Текстовое слово: СОБРАТЬ на номер: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18"
ham,Они могут попробовать! На самом деле они могут заблудиться. Ти хи
ham,"Привет! Вы только что говорили с МАНИШЕЙ В. Мы хотели бы знать, остались ли вы довольны нашим опытом. Ответьте по бесплатному телефону ""Да"" или ""Нет""."
ham,Мои друзья привыкли называть то же самое.
ham,"Извини, я позвоню позже"
ham,"Эм, это оловойей@ usc.edu желаю отлично провести время в Аргентине. Не печалься о секретарше, все - это благословение"
ham,"Это,, тактический массаж .... завязывай, все в порядке! Лоол!"
ham,"Привет, могу я, пожалуйста, получить от вас ссуду в долларах  12:00. Я верну вам деньги к середине февраля. Пожалуйста."
ham,"Возможно, вы захотите снять больше на всякий случай и просто планируйте не тратить их, если сможете, я не очень доверяю управлению капиталом Дерека и Тейлора"
ham,Тебе нравится трясти своей попой на танцполе?
ham,"Напиши мне, когда освободишься, не звони, у меня проблемы с телефонами"
ham,Больше нет необходимости в наркотике.
ham,"Извини, па:) я думал позвонить тебе много раз:)лил занята. я позвоню тебе в полдень.."
ham,Его сарказм ...nt scarcasim
ham,"Отлично! Мне нужно бежать сейчас, так быстро!"
ham,Хочешь еще раз попробовать kadeem? :V
ham,Дай  12:00 наал эруку.
ham,Еще не чикку..что с тобой?
ham,ОК...
ham,"Хочешь, наконец, пообедать сегодня?"
ham,"Ты знаешь, когда папа вернется?"
spam,"Привет, дорогая, как у тебя дела сегодня? Я бы с удовольствием поболтал, почему бы тебе не рассказать мне, как ты выглядишь и в чем твоя сексуальность?"
spam,"8007 БЕСПЛАТНО в течение 1-й недели! No1 Nokia tone 4 ur mob каждую неделю просто отправляйте текстовые сообщения с NOKIA на номер 8007, отправляйте сообщения и рассказывайте своим друзьям www.getzed.co.uk Коробка 36504 W4 5WQ norm 150p/тон 16+"
ham,Он остается братом среди братанов
ham,Ты встречаешься с da ge в nite tmr?
ham,"* Был хороший день, и, что удивительно, я вел себя разумно, рано ушел домой и теперь чувствую себя прекрасно. Или я просто скучный?! Когда это твое, я не могу вспомнить."
ham,Почему de. Только ты хорошо выглядишь:-)..
spam,"Хочешь потрахаться 2nite? Хотите, чтобы реальные локации слежки отправлялись прямо на ваш мобильный? Присоединяйтесь к крупнейшей в Великобритании сети слежки. ТЕКСТОВЫЙ ПАРК до 69696 прямо сейчас! Нью-Йорк. ec2a. 3 фунта ≈1,50 / глутамат натрия"
spam,"мы пытались связаться с вами в связи с вашим ответом на наше предложение о новом nokia fone и видеокамере, нажмите ответить или позвоните по телефону 08000930705 для получения заказа"
ham,ДА. Они ответили на мое письмо. Позже я иду в офис руководства. Плюс также поступит в банк позже. или в среду.
ham,"Это круто, я зайду, как  12:00 иш"
ham,Супер сообщение да:)наконец-то выбрано время.
ham,"Добрый день, мой мальчик ... Как ты себя чувствуешь сегодня ? Надеюсь, лучше? Ты ведешь себя как мой хороший мальчик? Ты мой послушный раб? Доставляешь ли ты удовольствие своей Королеве?"
ham,Мой рост 6 футов. Мы составим хорошую комбинацию!
ham,Я болен !! Я нуждаюсь !! Я хочу тебя !! *надувает губы* *топает ногами * Где ты ?! *надувает губы* *топает ногами* Я хочу своего раба !! Я хочу его сейчас !!
ham,"* Я возвращаюсь поездом из Нортгемптона, так что, боюсь, нет!"
ham,Где в абдж вы служите. Ты остаешься с папой или одна.
ham,"Играл в игру 9 doors и gt racing на телефоне, лол"
spam,"Новые мелодии на этой неделе включают: 1)McFly-All Ab .., 2) Sara Jorge-Shock.. 3) Will Smith-Switch.. Для заказа следуйте инструкциям в следующем сообщении"
ham,"Решите дело d : Мужчина был найден Убитым На &lt; ДЕСЯТИЧНОЙ ДРОБИ&gt; .  12:00 Вторая половина дня. 1, Его жена позвонила в полицию. 2, Полиция допросила всех. 3, Жена: Сэр, я спал, когда произошло убийство. 4.Повар: Я готовил. 5.Садовник: Я собирал овощи. 6.Домработница: Я ходила в 2-е почтовое отделение. 7.Дети: Мы пошли 2 раза поиграть. 8.Сосед: Мы ходили 2 раза замуж. Полиция немедленно арестовала убийцу Д. Кто это? Отвечай Разумно, Если Ты Гениален."
ham,Я еду домой на автобусе...
ham,Мне позвонили со стационарного телефона ... Меня попросили прийти к Анне нагар ... Я поеду во второй половине дня
ham,Я в порядке. В погоне за мечтой. Что хорошо. Что ты делаешь дальше.
ham,Ага... Я уже или только что забронировал слоты 4 на свои выходные ляо...
spam,"СРОЧНО! Мы пытаемся связаться с U. Сегодняшний розыгрыш показывает, что вы гарантированно выиграли приз в размере 800 руб. Позвоните 09050003091 со стационарного телефона. Претензия C52. Действительна только 12 часов"
ham,"Есть много моделей .. sony ericson также der..  12:00 .. это хорошо, потому что я забыл, что modl нет"
ham,Оки
ham,"Да, я знаю дрянные песенки из frosty the snowman :)"
ham,"Я окей, викки вл си через  12:00 минут и я отвечу тебе.."
spam,"любители спорта - получайте последние спортивные новости str * 2 на мобильный 1 неделю БЕСПЛАТНО, а также БЕСПЛАТНЫЙ TONE Txt SPORT НА номер 8007 www.getzed.co.uk 0870141701216+ нормальный формат 4txt/120p "
ham,"Привет , tmr , встречаемся в bugis 930 ?"
spam,"Срочно, срочно! У нас есть 800 БЕСПЛАТНЫХ авиабилетов в Европу, которые можно раздать, позвоните в B4 10 сентября и возьмите друга 4 БЕСПЛАТНО. Позвоните сейчас, чтобы подать заявку на 09050000555. BA128NNFWFLY150ppm"
ham,"Все эти красивые новые рубашки, и единственное, на что я могу их надеть, - это на нудистскую тематику ;_; ты в му?"
ham,"Эй, сексуальные булочки! Что было в тот день? Сегодня утром от тебя не было ни слова о YM ... :-( ... Я думаю о тебе"
ham,"И всякий раз, когда мы с тобой увидим, что мы все еще можем перепихнуться."
ham,"Нет, но я сейчас еду домой, а потом пойду заправляться дальше... Как будто скоро пойдет дождь 2..."
ham,Можете ли вы использовать иностранные марки для чего бы вы их ни отправляли?
spam,ИЗ 88066 ПОТЕРЯННЫХ  12 ПОМОЩЬ
ham,"О, дитя этого дома. Почему у вас нет никаких новых фотографий на facebook"
ham,"Февраль  12:00 - это день ""Я ЛЮБЛЮ тебя"". Разошлите это всем вашим ""ЦЕННЫМ ДРУЗЬЯМ"", даже мне. Если 3 вернется, ты будешь замужем за d человеком, которого любишь! Если вы проигнорируете это, вы потеряете свою любовь 4 раза """
ham,"Привет, извини, что не получил сигнала. Я не видел и не слышал ни о ком из них, что само по себе необычно! Я возьмусь за это дело и попрошу его во всем разобраться! Объятия и поцелуи."
ham,"Omw возвращается в Тампу из Уэст-Палма, вы слышали, что произошло?"
ham,"Да, уже больше нет... Спасибо 4 раза, печатаю и передаю его наверх."
spam,"FreeMsg: Хочешь пофлиртовать? Ответьте НА свидание прямо сейчас и присоединяйтесь к самой быстрорастущей службе мобильных знакомств Великобритании. Msgs rcvd всего за 25 пенсов, чтобы отказаться от txt stop до 83021. Дата ответа сейчас!"
ham,"Я имею в виду, выгоняют ли они тебя, когда все заканчивается, или там указано, что ты можешь смотреть столько фильмов, сколько захочешь."
ham,S сейчас только я принимала таблетки . Реакция только утром.
spam,Отличное НОВОЕ предложение - ДВОЙНЫЕ минуты и ДВОЙНОЙ текст по лучшим тарифам Orange И получите бесплатно последнюю версию camera phones 4! Позвоните в MobileUpd8 бесплатно по номеру 08000839402 прямо СЕЙЧАС! или 2stoptxt T &amp;Cs
ham,"Не, я вечный ДД"
ham,"Извини, что я пошел в магазин."
spam,"Надеюсь, вам понравился ваш новый контент. отправьте сообщение stop на номер 61610, чтобы отказаться от подписки. справка: 08712400602450p Предоставлена tones2you.co.uk"
ham,"Когда твои милые парни злятся на тебя, не принимай это всерьез.. Потому что злиться - это самый детский и верный способ проявить глубокую привязанность, заботу и любовь!.. kettoda manda... Хорошего дня, па."
ham,"Эй, ты все еще хочешь заняться йогасаной? Потому что если мы закончим на кино, то можем пойти искупаться и попариться в бане."
ham,"Нет, я не за рулем... Я нева проявлю да фотографии лей..."
ham,"Я подумываю о том, чтобы пойти в reg на уроки практики.. Отбросил мое наступление.. Ха-ха, в какое время ты собираешься?"
ham,"Прохладный. Я  12:00 в дюймах длиной. надеюсь, они вам понравятся большими!"
ham,"Горничная - убийца, потому что мужчина был убит  12:00 четвертого января.. В связи с государственным праздником все государственные учреждения закрыты, включая почтовое отделение .. понимаете?"
ham,Оки.. Спасибо..
spam,18 дней до старта Евро-2004! Вы будете ежедневно получать информацию обо всех последних новостях и результатах. Отказаться от подписки отправить GET EURO STOP на номер 83222.
ham,"Пойти куда-нибудь и купить? Юз куплю, когда мы туда доберемся, лар."
ham,"Хорошо, Лор..."
ham,Я работаю в службе технической поддержки :)голосовой процесс.
ham,"Прошло всего больше недели с тех пор, как мы расстались, а наши мозги уже превращаются в кашу!"
ham,"Тунде, как у тебя дела. Я просто желаю вам отличного дня. Абиола."
ham,Нет... C  _ тогда...
ham,Нет. Но мы будем выполнять медицинские миссии в Нигерии
ham,"Нет, у меня нет никаких фильмов в моем ноутбуке"
ham,Что там такое. Разве ты не хочешь спать
spam,"Срочно, пожалуйста, позвоните 09066612661 со стационарного телефона. Вас ждут 5000 рубналичными или роскошный отдых на Канарских островах 4 *. Награда T&amp;Cs SAE. 20M12AQ. 150ppm. 16+   "
spam,"Срочно! Пожалуйста, позвоните по телефону 09066612661 со своего стационарного телефона, вас ожидает бесплатный отдых 4 * Lux Costa Del Sol или 1000 рубНАЛИЧНЫМИ. промилле 150 SAE T &amp; Cs James 28, EH74RR"
ham,У меня нет леев.. В следующий понедельник можно?
ham,"Мм, хочется спать. сегодня я сам добьюсь этого, дорогой"
ham,"Как ты смеешь, глупый. Я тебе ничего не скажу. Услышь после того, как я не буду с тобой разговаривать:-."
ham,"Что делать, если бен собирается?"
ham,Можете ли вы в какой-то момент организовать встречу mag с этим avo?
ham,Я имел в виду средний левый или правый угол?
ham,"Неужели? Я отключилась, свернувшись калачиком на своем диване."
ham,"Привет, Чачи, пытался дозвониться до тебя, сейчас не могу дозвониться до тебя. Пожалуйста, дай мне пропущенный звонок один раз, чтобы узнать сообщение Канагу"
ham,"Я отправил вам цены, и вы имеете в виду  12:00 g,"
ham,Ты настолько оживленный
ham,Ничего. Может...
spam,"Я не знаю тебя, и ты не знаешь меня. Отправьте чат на 86688 сейчас, и давайте найдем друг друга! Только 150p / Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 лет и старше."
ham,"Нет * я работаю над тем, чтобы позвонить тебе, но у меня полный дом орущих сопляков, так что * я рву на себе волосы! Любящий тебя"
ham,"Но моя семья ни за что не отвечает. Сейчас нахожусь в комнате, а не отправился домой на дивали, но мне никто не звонил и почему не приходит. Это заставляет меня чувствовать себя так, словно я умер."
ham,"Тик, тик, тик ... Красотка"
ham,R  _ собираетесь на сегодняшнюю встречу 4?
ham,K da:) сколько страниц ты хочешь?
ham,Ты только что ела жаркое с луком.
ham,"Отправь его номер и дай ответ завтра утром о том, почему ты так ему это сказала, хорошо"
ham,"Ты сказал ""не сейчас"". Никаких проблем. Когда сможешь. Дай мне знать."
ham,"Хорошо, но скажи мне, что через пол часа в4 ты придешь, мне нужно 2 подготовиться."
ham,"Играть на компьютере? Айя, я ток 2 у тебя или?"
ham,"Правильно сел? Хорошо, спасибо... "
ham,"Сумасшедший. Что хуже, чувак, который всегда хочет повеселиться, или чувак, который подает жалобу на трех наркоманов, с которыми он живет"
ham,"Ладно, китайская еда уже в пути. Когда я растолстею, ты заплатишь за мой липосакционный эффект."
ham,Мы уже на улице.
ham,"Удачной поездки. Остерегайтесь . Помни, когда ты вернешься, мы должны решить насчет пасхи."
ham,"Йоу, мы смотрим фильм на netflix"
ham,В какое время. Я ухожу до 3-й проблемы или около того
ham,"Можешь, мэх? Thgt некоторые будут конфликтовать... На самом деле, ах, я не возражаю... Я не видела, чтобы я похудела ... Ну и дела..."
ham,"Я не думаю, что это неправильное призвание между нами"
ham,Я не уверен насчет ночного меню ... Я знаю только о дневном меню
ham,У АРРА сегодня день рождения:) я желаю ему получить еще одного оскара.
ham,"Скажи это медленно.? БОЖЕ, я ЛЮБЛЮ ТЕБЯ И ТЫ МНЕ НУЖЕН, ОЧИСТИ МОЕ СЕРДЦЕ СВОЕЙ КРОВЬЮ.Отправь это десяти особым людям и u c miracle завтра, сделай это, пожалуйста, пожалуйста, сделай это..."
ham,"Откройте rebtel с помощью Firefox. Когда он загрузится, просто поставьте знак плюс на место имени пользователя, и он покажет вам две цифры. Меньшее число - это мой номер. Как только вы выберете этот номер, PIN-код отобразится нормально!"
ham, и подбирая их с разных точек
spam,"Замужние местные женщины ищут осторожных действий прямо сейчас! 5 реальных совпадений мгновенно загружаются на ваш телефон. Текст, соответствующий сообщению 69969, стоит 150 пенсов 2 остановки txt stop BCMSFWC1N3XX"
ham,"Вау, ви ви впечатлен. Удачных покупок!"
ham,Я на пути к твоему дому
spam,"Burger King - Хочешь поиграть в футбол на лучшем стадионе? Купите 2 Burger King до 1 сентября, попробуйте Big или Super с Coca-Cola и станьте победителем"
ham,Никаких проблем. Поговорим с тобой позже
ham,Тогда твоя сестра как?
ham,Все еще на месте клиента
spam,"Почему ребенку, который боится темноты, требуется так мало времени, чтобы превратиться в подростка, который хочет гулять всю ночь?"
ham,"Чувак, ты тоже знаешь телугу.. это гуд..к, гуд Нью-Йорк.."
ham,"Мы подтверждаем, что едим в ""эспланаде""?"
ham,Пришлите мне свой идентификатор и пароль
ham,Вроде того. Отнес его в гараж. Центральная часть выхлопной трубы нуждается в замене. Часть приказала починить его до следующего утра.
spam,"За шанс выиграть 250 рубналичными каждую неделю ТЕКСТ: АКЦИЯ на 80608. T's и C's www.movietrivia.tv крем для рукоделия 08712405022, 1х150р/шк."
ham,"Ну, тогда я, возможно, не приду..."
ham,"Долго после того, как я уволился. Я и так провожу всего около 5 минут в день."
ham,"Тогда его, скорее всего, называли Миттельшмерц. Погугли это. Если у вас нет парацетамола, не волнуйтесь, он пройдет."
ham,"Что ж, в данный момент мне нужно встать и проверить сегодняшние продажи steam / pee, так что напиши мне, когда захочешь, чтобы я приехал за тобой"
ham,"Только что прибыл, увидимся через пару дней &lt;3"
ham,"Кей, что за инцидент?"
ham,"Да, получи неограниченный"
ham,"Тогда я думаю, что этого будет достаточно.. Все еще есть заключение n содержание pg n ссылок.. Я буду б делать да содержание pg n обложку pg.."
ham,"Забыла, что мне требуется 3 года, чтобы принять душ, извини. Где ты / твой телефон еще не разрядился?"
ham,"Есть что купить, скажите нам потом больше заходить не нужно."
ham,Когда ты станешь большим.. Да поможет нам Бог.
spam,"Вы выиграли 50 руб , чтобы разыграть 4 мгновенных кеша. Позвоните по телефону 08715203028, чтобы подать заявку. КАЖДЫЙ 9-й Игрок выигрывает Минимум 50-500 руб. Отказ 08718727870"
ham,"Мы останемся здесь еще на неделю, вернемся на следующей неделе. Как мы выступили в футболе в эти выходные? Привет и до скорого"
ham,"Что ж, ребята, еще немного осталось, если вы хотите сегодня вечером отдохнуть"
ham,Не из этого кампуса. Вы в библиотеке?
ham,"В показаниях указано. Я перепроверю и напишу тебе снова завтра"
ham,Как я теперь буду подкрадываться к тебе?
ham,"Расскажите своим друзьям, что вы планируете делать в день Святого Валентина @ &lt;URL&gt;"
ham,"Если я доберусь туда раньше тебя после твоих десяти миллиардов звонков и смс, да поможет мне бог"
ham,"Чистота дружбы между двумя - это не улыбка после прочтения переадресованного сообщения..Речь идет об улыбке, просто увидев название. Добрый вечер , Максим"
ham,"Я сказал ему, что вернул его. Это должен ли я повторно заказать его."
ham,"Горничная - убийца, потому что мужчина был убит  12:00 четвертого января.. В связи с государственным праздником все государственные учреждения закрыты, включая почтовое отделение.."
ham,"Зависит от того, куда ты направляешься дальше."
ham,"И улыбнись мне прямо сейчас , уходя , и мир будет удивляться , чему ты улыбаешься , и подумает , что ты сумасшедший , и будет держаться от тебя подальше ... * ухмыляется*"
spam,FreeMsg&gt; ЛЮБИМЫЕ РОЖДЕСТВЕНСКИЕ МЕЛОДИИ!Ответить РЕАЛЬНО
ham,Маленькая лихорадка:) теперь все в порядке:)
ham,"Я думаю, что все это все еще в моей машине"
ham,Может а не может?
spam,Только в декабре! Был ли у вашего мобильного 11 месяцев +? Вы имеете право бесплатно обновиться до последней версии color camera mobile! Позвоните в компанию Mobile Update Co БЕСПЛАТНО по телефону 08002986906
ham,"Да, принцесса! Я хочу поймать тебя своими большими сильными руками..."
ham,"Ах да, я забыл. Вы можете взять с собой только 2 покупки одновременно."
ham,Мм так ты просил меня не звонить на радио
ham,Думать о ком-то - это все хорошо. Никаких лекарств от этого нет
ham,"Скажи это медленно.? БОЖЕ, я ЛЮБЛЮ ТЕБЯ И ТЫ МНЕ НУЖЕН, ОЧИСТИ МОЕ СЕРДЦЕ СВОЕЙ КРОВЬЮ.Отправь это десяти особым людям и u c miracle завтра, сделай это, пожалуйста, пожалуйста, сделай это..."
ham,"Наслаждайтесь ливнями собственничества, изливаемыми на вас вашими близкими, потому что в этом мире лжи быть любимым по-настоящему - это золотой дар.."
ham,"Хорошо, если ты уверен, дай мне знать, когда будешь уходить."
ham,"Некоторые из них длятся целых 2 часа. Возможно, вам повезет."
ham,"Гениально, в чем дело. Как твой брат. Пожалуйста, пришлите его номер в мой skype."
spam,"Gr8 Poly tones 4 ВСЕ мобы направляются 2 раза в неделю с ТИТУЛОМ POLY на 8007, например, титулы POLY BREATHE1: CRAZYIN, SLEEPINGWITH, FINEST, YMCA :getzed.co.uk POBox365O4W45WQ 300p"
ham,"Thk некоторые из них считают wtc слишком далеким... Мы никуда не поедем... В остальном я пока не знаю... Ты идешь на ужин в 4 дня, к которому я, возможно, смогу присоединиться..."
ham,"Не забывай , кому ты принадлежишь и чьей частной собственностью ты являешься ... И будь моим хорошим мальчиком всегда .. * страстный поцелуй*"
spam,"INTERFLORA -  Еще не поздно заказать цветы Interflora к Рождеству по телефону 0800 505060, чтобы оформить заказ до полуночи завтрашнего дня."
ham,О боже..забрали зубы? это причиняет боль
spam,"ROMCAPspam Все вокруг должны хорошо реагировать на ваше присутствие, раз вы такой теплый и общительный. Вы приносите с собой настоящее дыхание солнечного света."
ham,Тогда ты попросишь Даррена пойти и забрать тебя лор... Но я осо сиан пмр хаф 2 встречаю лекта...
ham,Не нужно покупать мне обед.. Я ем мэгги ми..
spam,"Поздравляем - Благодаря хорошему другу Вы ВЫИГРАЛИ рождественский приз в размере 2000 руб. подать заявку на 2 легко, просто позвоните 08712103738 прямо сейчас! Всего 10 пенсов в минуту. BT-национальный тариф"
ham,"Хорошо, Лор..."
ham,"Ах да, хорошо. Я позабочусь о том, чтобы в течение дня у меня было много работы!  сегодня у меня действительно неприятный кашель, и мне сделали сухую прививку, так что это действительно должно помочь!"
